"","date","away.jumper","home.jumper","winning.team","away.team","home.team","shoot.first","score.first"
"16",2018-10-19,"Myles Turner","Brook Lopez","ind","ind","mil","ind","ind"
"17",2018-10-19,"Steven Adams","Marcin Gortat","lac","okc","lac","lac","lac"
"1217",2018-10-19,"Al Horford","Serge Ibaka","bos","bos","tor","tor","bos"
"1218",2018-10-19,"Damian Jones","Rudy Gobert","utah","gs","utah","utah","utah"
"18",2018-10-20,"Jarrett Allen","Myles Turner","bkn","bkn","ind","bkn","bkn"
"19",2018-10-20,"Al Horford","Enes Kanter","bos","bos","ny","bos","bos"
"20",2018-10-20,"Nikola Vucevic","Joel Embiid","orl","orl","phi","orl","orl"
"21",2018-10-20,"Cody Zeller","Hassan Whiteside","mia","cha","mia","mia","mia"
"22",2018-10-20,"Andre Drummond","Wendell Carter Jr.","det","det","chi","det","det"
"23",2018-10-20,"Karl-Anthony Towns","DeAndre Jordan","dal","min","dal","min","min"
"24",2018-10-20,"Deandre Ayton","Nikola Jokic","phx","phx","den","den","den"
"25",2018-10-20,"Jakob Poeltl","Jusuf Nurkic","por","sa","por","por","por"
"1219",2018-10-20,"Jonas Valanciunas","Ian Mahinmi","tor","tor","wsh","tor","wsh"
"1220",2018-10-20,"Clint Capela","JaVale McGee","lal","hou","lal","lal","hou"
"26",2018-10-21,"Alex Len","Tristan Thompson","atl","atl","cle","atl","cle"
"27",2018-10-21,"Willie Cauley-Stein","Steven Adams","sac","sac","okc","sac","okc"
"28",2018-10-21,"Damian Jones","Nikola Jokic","gs","gs","den","gs","den"
"1221",2018-10-21,"Clint Capela","Marcin Gortat","lac","hou","lac","lac","lac"
"29",2018-10-22,"Nikola Vucevic","Al Horford","bos","orl","bos","bos","orl"
"30",2018-10-22,"Cody Zeller","Serge Ibaka","tor","cha","tor","tor","tor"
"31",2018-10-22,"Enes Kanter","Brook Lopez","mil","ny","mil","mil","mil"
"32",2018-10-22,"Myles Turner","Karl-Anthony Towns","min","ind","min","min","min"
"33",2018-10-22,"Wendell Carter Jr.","DeAndre Jordan","chi","chi","dal","chi","chi"
"34",2018-10-22,"Marc Gasol","Rudy Gobert","utah","mem","utah","mem","mem"
"36",2018-10-22,"Deandre Ayton","Damian Jones","gs","phx","gs","gs","gs"
"37",2018-10-22,"LaMarcus Aldridge","JaVale McGee","lal","sa","lal","lal","lal"
"38",2018-10-23,"Joel Embiid","Andre Drummond","det","phi","det","det","phi"
"39",2018-10-23,"Marcin Gortat","Anthony Davis","lac","lac","no","lac","no"
"40",2018-10-23,"Willie Cauley-Stein","Nikola Jokic","sac","sac","den","sac","den"
"41",2018-10-24,"DeAndre Jordan","Alex Len","dal","dal","atl","dal","dal"
"42",2018-10-24,"Jarrett Allen","Tristan Thompson","bkn","bkn","cle","bkn","cle"
"43",2018-10-24,"Enes Kanter","Hassan Whiteside","ny","ny","mia","ny","mia"
"44",2018-10-24,"Karl-Anthony Towns","Serge Ibaka","tor","min","tor","tor","tor"
"45",2018-10-24,"Cody Zeller","Wendell Carter Jr.","cha","cha","chi","cha","cha"
"46",2018-10-24,"Rudy Gobert","Clint Capela","utah","utah","hou","hou","utah"
"47",2018-10-24,"Myles Turner","Jakob Poeltl","sa","ind","sa","sa","sa"
"48",2018-10-24,"Joel Embiid","Brook Lopez","phi","phi","mil","phi","phi"
"49",2018-10-24,"Lonzo Ball","Deandre Ayton","lal","lal","phx","lal","lal"
"50",2018-10-24,"Marc Gasol","Willie Cauley-Stein","sac","mem","sac","sac","sac"
"51",2018-10-24,"Jason Smith","Damian Jones","gs","wsh","gs","gs","gs"
"52",2018-10-25,"Tristan Thompson","Andre Drummond","det","cle","det","det","det"
"53",2018-10-25,"Jusuf Nurkic","Nikola Vucevic","por","por","orl","orl","por"
"54",2018-10-25,"Al Horford","Steven Adams","okc","bos","okc","okc","okc"
"55",2018-10-25,"Paul Millsap","JaVale McGee","den","den","lal","den","den"
"56",2018-10-26,"Wendell Carter Jr.","Cody Zeller","chi","chi","cha","chi","chi"
"57",2018-10-26,"Damian Jones","Mitchell Robinson","ny","gs","ny","ny","ny"
"58",2018-10-26,"DeAndre Jordan","Jonas Valanciunas","tor","dal","tor","tor","tor"
"59",2018-10-26,"Marcin Gortat","Clint Capela","lac","lac","hou","lac","lac"
"60",2018-10-26,"Brook Lopez","Karl-Anthony Towns","min","mil","min","min","mil"
"61",2018-10-26,"Jarrett Allen","Anthony Davis","no","bkn","no","no","no"
"62",2018-10-26,"Otto Porter Jr.","Willie Cauley-Stein","sac","wsh","sac","sac","sac"
"63",2018-10-27,"Al Horford","Andre Drummond","det","bos","det","det","det"
"64",2018-10-27,"Rudy Gobert","Julius Randle","no","utah","no","no","no"
"65",2018-10-27,"Wendell Carter Jr.","Alex Len","chi","chi","atl","chi","chi"
"66",2018-10-27,"Myles Turner","Tristan Thompson","ind","ind","cle","cle","cle"
"67",2018-10-27,"Cody Zeller","Joel Embiid","phi","cha","phi","phi","phi"
"68",2018-10-27,"Jusuf Nurkic","Hassan Whiteside","mia","por","mia","mia","por"
"69",2018-10-27,"Deandre Ayton","Marc Gasol","mem","phx","mem","mem","mem"
"70",2018-10-27,"Nikola Vucevic","Brook Lopez","orl","orl","mil","orl","orl"
"71",2018-10-27,"JaVale McGee","LaMarcus Aldridge","lal","lal","sa","sa","lal"
"72",2018-10-28,"Damian Jones","Jarrett Allen","bkn","gs","bkn","bkn","bkn"
"73",2018-10-28,"Rudy Gobert","DeAndre Jordan","utah","utah","dal","utah","utah"
"74",2018-10-28,"Deandre Ayton","Nerlens Noel","okc","phx","okc","okc","okc"
"75",2018-10-28,"Ian Mahinmi","Marcin Gortat","lac","wsh","lac","lac","lac"
"76",2018-10-29,"Jusuf Nurkic","Myles Turner","por","por","ind","ind","por"
"77",2018-10-29,"Alex Len","Joel Embiid","phi","atl","phi","phi","phi"
"78",2018-10-29,"Willie Cauley-Stein","Hassan Whiteside","sac","sac","mia","mia","mia"
"79",2018-10-29,"Jarrett Allen","Mitchell Robinson","bkn","bkn","ny","bkn","bkn"
"80",2018-10-29,"Damian Jones","Wendell Carter Jr.","gs","gs","chi","gs","gs"
"81",2018-10-29,"Serge Ibaka","Brook Lopez","tor","tor","mil","mil","mil"
"82",2018-10-29,"JaVale McGee","Karl-Anthony Towns","min","lal","min","lal","min"
"83",2018-10-29,"DeAndre Jordan","LaMarcus Aldridge","dal","dal","sa","sa","sa"
"84",2018-10-29,"Solomon Hill","Nikola Jokic","no","no","den","no","no"
"85",2018-10-30,"Hassan Whiteside","Cody Zeller","mia","mia","cha","mia","cha"
"86",2018-10-30,"Alex Len","Tristan Thompson","cle","atl","cle","cle","cle"
"87",2018-10-30,"Willie Cauley-Stein","Nikola Vucevic","orl","sac","orl","orl","orl"
"88",2018-10-30,"Andre Drummond","Al Horford","det","det","bos","det","det"
"89",2018-10-30,"Joel Embiid","Serge Ibaka","tor","phi","tor","tor","tor"
"90",2018-10-30,"Jusuf Nurkic","Clint Capela","por","por","hou","por","por"
"91",2018-10-30,"Ian Mahinmi","Marc Gasol","mem","wsh","mem","mem","wsh"
"92",2018-10-30,"Marcin Gortat","Steven Adams","okc","lac","okc","lac","lac"
"93",2018-10-31,"Andre Drummond","Jarrett Allen","bkn","det","bkn","bkn","det"
"94",2018-10-31,"Myles Turner","Mitchell Robinson","ind","ind","ny","ind","ny"
"95",2018-10-31,"Nikola Jokic","Wendell Carter Jr.","den","den","chi","den","den"
"96",2018-10-31,"Rudy Gobert","Karl-Anthony Towns","utah","utah","min","utah","utah"
"97",2018-10-31,"Anthony Davis","Damian Jones","no","no","gs","no","no"
"98",2018-10-31,"DeAndre Jordan","JaVale McGee","lal","dal","lal","lal","lal"
"99",2018-10-31,"LaMarcus Aldridge","Deandre Ayton","phx","sa","phx","phx","sa"
"100",2018-11-01,"Steven Adams","Cody Zeller","okc","okc","cha","okc","okc"
"101",2018-11-01,"Nikola Jokic","Tristan Thompson","den","den","cle","den","den"
"102",2018-11-01,"Marcin Gortat","Joel Embiid","lac","lac","phi","phi","phi"
"103",2018-11-01,"Willie Cauley-Stein","Alex Len","atl","sac","atl","atl","atl"
"104",2018-11-01,"Brook Lopez","Al Horford","mil","mil","bos","mil","bos"
"105",2018-11-01,"Jahlil Okafor","Jusuf Nurkic","por","no","por","por","por"
"106",2018-11-02,"Boban Marjanovic","Nikola Vucevic","orl","lac","orl","orl","orl"
"107",2018-11-02,"Clint Capela","Jarrett Allen","hou","hou","bkn","hou","hou"
"108",2018-11-02,"Steven Adams","Dwight Howard","okc","okc","wsh","okc","wsh"
"109",2018-11-02,"Myles Turner","Wendell Carter Jr.","chi","ind","chi","chi","chi"
"110",2018-11-02,"Mitchell Robinson","DeAndre Jordan","dal","ny","dal","dal","dal"
"111",2018-11-02,"Marc Gasol","Rudy Gobert","mem","mem","utah","utah","utah"
"112",2018-11-02,"Jonas Valanciunas","Deandre Ayton","phx","tor","phx","phx","tor"
"113",2018-11-02,"Karl-Anthony Towns","Damian Jones","gs","min","gs","gs","gs"
"114",2018-11-03,"Andre Drummond","Joel Embiid","phi","det","phi","phi","phi"
"115",2018-11-03,"Tristan Thompson","Cody Zeller","cha","cle","cha","cha","cha"
"116",2018-11-03,"Al Horford","Myles Turner","bos","bos","ind","bos","ind"
"118",2018-11-03,"Clint Capela","Wendell Carter Jr.","hou","hou","chi","hou","hou"
"119",2018-11-03,"Anthony Davis","LaMarcus Aldridge","sa","no","sa","sa","sa"
"120",2018-11-03,"Rudy Gobert","Nikola Jokic","utah","utah","den","utah","den"
"121",2018-11-03,"JaVale McGee","Jusuf Nurkic","por","lal","por","por","por"
"122",2018-11-04,"Willie Cauley-Stein","Brook Lopez","mil","sac","mil","mil","mil"
"123",2018-11-04,"Joel Embiid","Jarrett Allen","phi","phi","bkn","phi","phi"
"124",2018-11-04,"Mitchell Robinson","Dwight Howard","ny","ny","wsh","wsh","wsh"
"125",2018-11-04,"Nikola Vucevic","LaMarcus Aldridge","orl","orl","sa","orl","orl"
"126",2018-11-04,"Marc Gasol","Deandre Ayton","mem","mem","phx","mem","mem"
"127",2018-11-04,"Karl-Anthony Towns","Jusuf Nurkic","por","min","por","por","por"
"128",2018-11-04,"Serge Ibaka","JaVale McGee","lal","tor","lal","lal","lal"
"129",2018-11-05,"Bam Adebayo","Andre Drummond","det","mia","det","det","mia"
"130",2018-11-05,"Clint Capela","Myles Turner","hou","hou","ind","hou","hou"
"131",2018-11-05,"Tristan Thompson","Nikola Vucevic","orl","cle","orl","orl","cle"
"132",2018-11-05,"Wendell Carter Jr.","Mitchell Robinson","ny","chi","ny","ny","chi"
"133",2018-11-05,"Anthony Davis","Steven Adams","no","no","okc","no","okc"
"134",2018-11-05,"Al Horford","Nikola Jokic","bos","bos","den","bos","bos"
"135",2018-11-05,"Jonas Valanciunas","Rudy Gobert","tor","tor","utah","utah","utah"
"136",2018-11-05,"Marc Gasol","Damian Jones","mem","mem","gs","gs","gs"
"137",2018-11-05,"Karl-Anthony Towns","Boban Marjanovic","min","min","lac","min","min"
"138",2018-11-06,"Alex Len","Cody Zeller","atl","atl","cha","atl","atl"
"139",2018-11-06,"Dwight Howard","DeAndre Jordan","dal","wsh","dal","dal","dal"
"140",2018-11-06,"Jarrett Allen","Deandre Ayton","phx","bkn","phx","phx","bkn"
"141",2018-11-06,"Brook Lopez","Jusuf Nurkic","mil","mil","por","mil","mil"
"142",2018-11-07,"Steven Adams","Tristan Thompson","okc","okc","cle","okc","okc"
"143",2018-11-07,"Andre Drummond","Nikola Vucevic","orl","det","orl","orl","orl"
"144",2018-11-07,"Mitchell Robinson","Alex Len","ny","ny","atl","ny","ny"
"145",2018-11-07,"LaMarcus Aldridge","Hassan Whiteside","sa","sa","mia","sa","sa"
"147",2018-11-07,"Nikola Jokic","Marc Gasol","mem","den","mem","den","mem"
"148",2018-11-07,"Wendell Carter Jr.","Anthony Davis","chi","chi","no","chi","no"
"149",2018-11-07,"DeAndre Jordan","Rudy Gobert","dal","dal","utah","dal","dal"
"150",2018-11-07,"Serge Ibaka","Willie Cauley-Stein","sac","tor","sac","sac","sac"
"151",2018-11-07,"Karl-Anthony Towns","JaVale McGee","lal","min","lal","lal","lal"
"152",2018-11-08,"Clint Capela","Steven Adams","okc","hou","okc","okc","okc"
"153",2018-11-08,"Al Horford","Deandre Ayton","bos","bos","phx","bos","bos"
"154",2018-11-08,"Boban Marjanovic","Jusuf Nurkic","por","lac","por","por","por"
"155",2018-11-08,"Brook Lopez","Damian Jones","mil","mil","gs","gs","gs"
"156",2018-11-09,"Dwight Howard","Nikola Vucevic","wsh","wsh","orl","wsh","wsh"
"157",2018-11-09,"Cody Zeller","Joel Embiid","phi","cha","phi","phi","cha"
"158",2018-11-09,"Andre Drummond","Alex Len","det","det","atl","det","det"
"159",2018-11-09,"Myles Turner","Hassan Whiteside","ind","ind","mia","ind","ind"
"160",2018-11-09,"Jarrett Allen","Nikola Jokic","bkn","bkn","den","bkn","bkn"
"161",2018-11-09,"Al Horford","Rudy Gobert","utah","bos","utah","utah","utah"
"162",2018-11-09,"Karl-Anthony Towns","Willie Cauley-Stein","min","min","sac","min","min"
"163",2018-11-10,"Mitchell Robinson","Serge Ibaka","tor","ny","tor","ny","ny"
"164",2018-11-10,"Deandre Ayton","Anthony Davis","no","phx","no","no","no"
"165",2018-11-10,"Dwight Howard","Hassan Whiteside","wsh","wsh","mia","wsh","wsh"
"166",2018-11-10,"Tristan Thompson","Wendell Carter Jr.","cle","cle","chi","cle","chi"
"167",2018-11-10,"Joel Embiid","Marc Gasol","phi","phi","mem","phi","phi"
"168",2018-11-10,"Clint Capela","LaMarcus Aldridge","hou","hou","sa","hou","sa"
"169",2018-11-10,"Jarrett Allen","Damian Jones","bkn","bkn","gs","bkn","bkn"
"170",2018-11-10,"Steven Adams","DeAndre Jordan","okc","okc","dal","okc","okc"
"171",2018-11-10,"JaVale McGee","Willie Cauley-Stein","lal","lal","sac","lal","lal"
"172",2018-11-11,"Cody Zeller","Andre Drummond","det","cha","det","det","det"
"173",2018-11-11,"Myles Turner","Clint Capela","hou","ind","hou","hou","hou"
"174",2018-11-11,"Nikola Vucevic","Mitchell Robinson","ny","orl","ny","ny","orl"
"175",2018-11-11,"Brook Lopez","Nikola Jokic","den","mil","den","den","den"
"176",2018-11-11,"Al Horford","Jusuf Nurkic","por","bos","por","por","por"
"177",2018-11-11,"Alex Len","JaVale McGee","lal","atl","lal","atl","atl"
"178",2018-11-12,"Nikola Vucevic","Dwight Howard","wsh","orl","wsh","wsh","wsh"
"179",2018-11-12,"Joel Embiid","Hassan Whiteside","mia","phi","mia","mia","phi"
"180",2018-11-12,"Anthony Davis","Serge Ibaka","no","no","tor","no","no"
"181",2018-11-12,"DeAndre Jordan","Wendell Carter Jr.","dal","dal","chi","dal","chi"
"182",2018-11-12,"Rudy Gobert","Marc Gasol","utah","utah","mem","mem","mem"
"183",2018-11-12,"Rondae Hollis-Jefferson","Karl-Anthony Towns","min","bkn","min","min","min"
"184",2018-11-12,"Deandre Ayton","Steven Adams","okc","phx","okc","okc","okc"
"185",2018-11-12,"LaMarcus Aldridge","Willie Cauley-Stein","sac","sa","sac","sa","sa"
"186",2018-11-12,"Damian Jones","Marcin Gortat","lac","gs","lac","lac","lac"
"187",2018-11-13,"Cody Zeller","Tristan Thompson","cle","cha","cle","cle","cle"
"188",2018-11-13,"Clint Capela","Nikola Jokic","hou","hou","den","hou","hou"
"189",2018-11-13,"Alex Len","Damian Jones","atl","atl","gs","atl","gs"
"190",2018-11-14,"Joel Embiid","Nikola Vucevic","phi","phi","orl","orl","orl"
"191",2018-11-14,"Tristan Thompson","Dwight Howard","wsh","cle","wsh","wsh","wsh"
"192",2018-11-14,"Wendell Carter Jr.","Al Horford","chi","chi","bos","chi","chi"
"193",2018-11-14,"Hassan Whiteside","Ed Davis","bkn","mia","bkn","bkn","mia"
"194",2018-11-14,"Andre Drummond","Jonas Valanciunas","det","det","tor","det","det"
"195",2018-11-14,"Marc Gasol","Brook Lopez","mil","mem","mil","mil","mil"
"196",2018-11-14,"Anthony Davis","Karl-Anthony Towns","min","no","min","min","min"
"197",2018-11-14,"Mitchell Robinson","Steven Adams","okc","ny","okc","okc","okc"
"198",2018-11-14,"Rudy Gobert","DeAndre Jordan","dal","utah","dal","dal","utah"
"199",2018-11-14,"LaMarcus Aldridge","Deandre Ayton","sa","sa","phx","sa","phx"
"200",2018-11-14,"Jusuf Nurkic","JaVale McGee","por","por","lal","por","lal"
"201",2018-11-15,"Damian Jones","Clint Capela","gs","gs","hou","gs","gs"
"202",2018-11-15,"Alex Len","Nikola Jokic","atl","atl","den","atl","den"
"203",2018-11-15,"LaMarcus Aldridge","Marcin Gortat","sa","sa","lac","sa","lac"
"204",2018-11-16,"Serge Ibaka","Al Horford","tor","tor","bos","tor","tor"
"205",2018-11-16,"Hassan Whiteside","Myles Turner","ind","mia","ind","ind","ind"
"206",2018-11-16,"Rudy Gobert","Joel Embiid","utah","utah","phi","utah","utah"
"207",2018-11-16,"Jarrett Allen","Dwight Howard","bkn","bkn","wsh","bkn","wsh"
"208",2018-11-16,"Willie Cauley-Stein","Marc Gasol","sac","sac","mem","sac","mem"
"209",2018-11-16,"Jusuf Nurkic","Karl-Anthony Towns","por","por","min","por","min"
"210",2018-11-16,"Mitchell Robinson","Anthony Davis","ny","ny","no","ny","ny"
"211",2018-11-16,"Wendell Carter Jr.","Brook Lopez","mil","chi","mil","chi","chi"
"212",2018-11-17,"Marcin Gortat","Jarrett Allen","bkn","lac","bkn","bkn","bkn"
"213",2018-11-17,"Joel Embiid","Cody Zeller","phi","phi","cha","phi","phi"
"214",2018-11-17,"Alex Len","Myles Turner","ind","atl","ind","ind","ind"
"215",2018-11-17,"JaVale McGee","Nikola Vucevic","lal","lal","orl","lal","lal"
"216",2018-11-17,"Nikola Jokic","Anthony Davis","no","den","no","no","no"
"217",2018-11-17,"Rudy Gobert","Al Horford","utah","utah","bos","utah","utah"
"218",2018-11-17,"Serge Ibaka","Wendell Carter Jr.","tor","tor","chi","tor","tor"
"219",2018-11-17,"Willie Cauley-Stein","Clint Capela","hou","sac","hou","hou","hou"
"220",2018-11-17,"Kevon Looney","DeAndre Jordan","dal","gs","dal","dal","dal"
"221",2018-11-17,"Steven Adams","Deandre Ayton","okc","okc","phx","okc","okc"
"222",2018-11-18,"Marc Gasol","Karl-Anthony Towns","min","mem","min","min","min"
"223",2018-11-18,"JaVale McGee","Hassan Whiteside","mia","lal","mia","mia","lal"
"224",2018-11-18,"Mitchell Robinson","Nikola Vucevic","orl","ny","orl","orl","orl"
"225",2018-11-18,"Jusuf Nurkic","Dwight Howard","wsh","por","wsh","wsh","por"
"226",2018-11-18,"Kevin Durant","LaMarcus Aldridge","sa","gs","sa","sa","sa"
"227",2018-11-19,"Aron Baynes","Cody Zeller","bos","bos","cha","bos","cha"
"228",2018-11-19,"Tristan Thompson","Andre Drummond","cle","cle","det","cle","det"
"229",2018-11-19,"Rudy Gobert","Myles Turner","utah","utah","ind","ind","ind"
"230",2018-11-19,"Deandre Ayton","Joel Embiid","phx","phx","phi","phx","phx"
"231",2018-11-19,"Marcin Gortat","Alex Len","lac","lac","atl","lac","lac"
"232",2018-11-19,"DeAndre Jordan","Marc Gasol","mem","dal","mem","mem","dal"
"233",2018-11-19,"Nikola Jokic","Brook Lopez","mil","den","mil","den","den"
"234",2018-11-19,"LaMarcus Aldridge","Anthony Davis","no","sa","no","no","sa"
"235",2018-11-19,"Steven Adams","Willie Cauley-Stein","sac","okc","sac","sac","sac"
"236",2018-11-20,"Serge Ibaka","Nikola Vucevic","tor","tor","orl","tor","tor"
"237",2018-11-20,"Marcin Gortat","Thomas Bryant","wsh","lac","wsh","wsh","wsh"
"239",2018-11-20,"Jusuf Nurkic","Noah Vonleh","por","por","ny","por","ny"
"240",2018-11-21,"Myles Turner","Cody Zeller","ind","ind","cha","ind","ind"
"241",2018-11-21,"Anthony Davis","Joel Embiid","phi","no","phi","phi","no"
"242",2018-11-21,"Jonas Valanciunas","Dewayne Dedmon","tor","tor","atl","tor","tor"
"243",2018-11-21,"Noah Vonleh","Aron Baynes","bos","ny","bos","bos","ny"
"244",2018-11-21,"JaVale McGee","Tristan Thompson","lal","lal","cle","lal","lal"
"245",2018-11-21,"Deandre Ayton","Wendell Carter Jr.","chi","phx","chi","chi","chi"
"246",2018-11-21,"Andre Drummond","Clint Capela","det","det","hou","det","det"
"247",2018-11-21,"Jusuf Nurkic","Brook Lopez","mil","por","mil","mil","mil"
"248",2018-11-21,"Nikola Jokic","Karl-Anthony Towns","min","den","min","den","min"
"249",2018-11-21,"Jarrett Allen","DeAndre Jordan","bkn","bkn","dal","bkn","dal"
"250",2018-11-21,"Marc Gasol","LaMarcus Aldridge","mem","mem","sa","mem","mem"
"251",2018-11-21,"Willie Cauley-Stein","Rudy Gobert","utah","sac","utah","utah","utah"
"252",2018-11-21,"Steven Adams","Damian Jones","okc","okc","gs","gs","gs"
"253",2018-11-23,"Karl-Anthony Towns","Jarrett Allen","min","min","bkn","min","bkn"
"254",2018-11-23,"Marc Gasol","Marcin Gortat","mem","mem","lac","mem","mem"
"255",2018-11-23,"Clint Capela","Andre Drummond","det","hou","det","det","det"
"256",2018-11-23,"Aron Baynes","Dewayne Dedmon","atl","bos","atl","bos","bos"
"257",2018-11-23,"Anthony Davis","Noah Vonleh","no","no","ny","no","ny"
"258",2018-11-23,"Tristan Thompson","Joel Embiid","cle","cle","phi","cle","cle"
"259",2018-11-23,"Thomas Bryant","Jonas Valanciunas","tor","wsh","tor","tor","tor"
"260",2018-11-23,"LaMarcus Aldridge","Domantas Sabonis","sa","sa","ind","sa","sa"
"261",2018-11-23,"Hassan Whiteside","Wendell Carter Jr.","mia","mia","chi","mia","chi"
"262",2018-11-23,"Cody Zeller","Steven Adams","okc","cha","okc","okc","okc"
"263",2018-11-23,"Deandre Ayton","Brook Lopez","mil","phx","mil","mil","mil"
"264",2018-11-23,"Nikola Vucevic","Nikola Jokic","orl","orl","den","orl","orl"
"265",2018-11-23,"Jusuf Nurkic","Damian Jones","por","por","gs","por","por"
"266",2018-11-23,"Rudy Gobert","JaVale McGee","lal","utah","lal","lal","lal"
"267",2018-11-24,"Clint Capela","Tristan Thompson","hou","hou","cle","cle","cle"
"268",2018-11-24,"Julius Randle","Thomas Bryant","wsh","no","wsh","wsh","wsh"
"269",2018-11-24,"Wendell Carter Jr.","Karl-Anthony Towns","chi","chi","min","chi","chi"
"270",2018-11-24,"Nikola Jokic","Steven Adams","den","den","okc","okc","den"
"271",2018-11-24,"Al Horford","DeAndre Jordan","dal","bos","dal","dal","dal"
"272",2018-11-24,"LaMarcus Aldridge","Brook Lopez","mil","sa","mil","mil","mil"
"273",2018-11-24,"Willie Cauley-Stein","Damian Jones","gs","sac","gs","gs","sac"
"274",2018-11-25,"Nikola Vucevic","JaVale McGee","lal","orl","lal","lal","lal"
"275",2018-11-25,"Deandre Ayton","Andre Drummond","det","phx","det","det","det"
"276",2018-11-25,"Cody Zeller","Dewayne Dedmon","atl","cha","atl","atl","cha"
"277",2018-11-25,"Joel Embiid","Jarrett Allen","phi","phi","bkn","phi","phi"
"278",2018-11-25,"Hassan Whiteside","Jonas Valanciunas","mia","mia","tor","mia","mia"
"279",2018-11-25,"Noah Vonleh","Marc Gasol","ny","ny","mem","ny","ny"
"280",2018-11-25,"Rudy Gobert","Willie Cauley-Stein","utah","utah","sac","utah","sac"
"281",2018-11-25,"Marcin Gortat","Jusuf Nurkic","lac","lac","por","lac","por"
"282",2018-11-26,"Brook Lopez","Cody Zeller","mil","mil","cha","mil","mil"
"283",2018-11-26,"Karl-Anthony Towns","Tristan Thompson","min","min","cle","min","cle"
"284",2018-11-26,"Clint Capela","Thomas Bryant","wsh","hou","wsh","wsh","wsh"
"285",2018-11-26,"LaMarcus Aldridge","Wendell Carter Jr.","chi","sa","chi","sa","chi"
"286",2018-11-26,"Al Horford","Anthony Davis","bos","bos","no","bos","no"
"287",2018-11-26,"Myles Turner","Rudy Gobert","utah","ind","utah","utah","utah"
"288",2018-11-26,"Nikola Vucevic","Damian Jones","orl","orl","gs","orl","gs"
"289",2018-11-27,"Noah Vonleh","Andre Drummond","det","ny","det","det","ny"
"290",2018-11-27,"Dewayne Dedmon","Hassan Whiteside","mia","atl","mia","atl","atl"
"291",2018-11-27,"Serge Ibaka","Marc Gasol","tor","tor","mem","tor","tor"
"292",2018-11-27,"JaVale McGee","Nikola Jokic","lal","lal","den","lal","den"
"293",2018-11-27,"Myles Turner","Deandre Ayton","phx","ind","phx","ind","ind"
"294",2018-11-28,"Dewayne Dedmon","Cody Zeller","atl","atl","cha","atl","atl"
"295",2018-11-28,"Noah Vonleh","Joel Embiid","phi","ny","phi","phi","phi"
"296",2018-11-28,"Rudy Gobert","Jarrett Allen","utah","utah","bkn","bkn","utah"
"297",2018-11-28,"DeAndre Jordan","Clint Capela","hou","dal","hou","hou","hou"
"298",2018-11-28,"Wendell Carter Jr.","Brook Lopez","mil","chi","mil","mil","chi"
"299",2018-11-28,"LaMarcus Aldridge","Karl-Anthony Towns","min","sa","min","min","sa"
"300",2018-11-28,"Thomas Bryant","Anthony Davis","no","wsh","no","no","wsh"
"301",2018-11-28,"Tristan Thompson","Steven Adams","cle","cle","okc","cle","okc"
"302",2018-11-28,"Nikola Vucevic","Jusuf Nurkic","por","orl","por","por","por"
"303",2018-11-28,"Deandre Ayton","Boban Marjanovic","phx","phx","lac","phx","lac"
"304",2018-11-29,"Damian Jones","Serge Ibaka","tor","gs","tor","tor","gs"
"305",2018-11-29,"Myles Turner","JaVale McGee","ind","ind","lal","ind","lal"
"306",2018-11-29,"Marcin Gortat","Willie Cauley-Stein","lac","lac","sac","lac","lac"
