"","date","away.jumper","home.jumper","winning.team","away.team","home.team","shoot.first","score.first"
"1211",2018-10-16,"Joel Embiid","Al Horford","phi","phi","bos","phi","phi"
"1212",2018-10-16,"Steven Adams","Damian Jones","gs","okc","gs","gs","gs"
"1",2018-10-17,"Brook Lopez","Cody Zeller","mil","mil","cha","mil","mil"
"2",2018-10-17,"Jarrett Allen","Andre Drummond","det","bkn","det","bkn","bkn"
"3",2018-10-17,"Marc Gasol","Myles Turner","ind","mem","ind","mem","ind"
"4",2018-10-17,"Hassan Whiteside","Nikola Vucevic","mia","mia","orl","mia","mia"
"5",2018-10-17,"Alex Len","Enes Kanter","atl","atl","ny","atl","atl"
"6",2018-10-17,"Tristan Thompson","Jonas Valanciunas","cle","cle","tor","cle","cle"
"7",2018-10-17,"Karl-Anthony Towns","Jakob Poeltl","min","min","sa","min","sa"
"8",2018-10-17,"Rudy Gobert","Willie Cauley-Stein","utah","utah","sac","utah","sac"
"9",2018-10-17,"Nikola Jokic","Marcin Gortat","lac","den","lac","lac","lac"
"1213",2018-10-17,"Anthony Davis","Clint Capela","no","no","hou","no","no"
"1214",2018-10-17,"DeAndre Jordan","Deandre Ayton","dal","dal","phx","dal","dal"
"10",2018-10-18,"Hassan Whiteside","Ian Mahinmi","wsh","mia","wsh","wsh","wsh"
"1215",2018-10-18,"Wendell Carter Jr.","Joel Embiid","chi","chi","phi","chi","chi"
"1216",2018-10-18,"JaVale McGee","Jusuf Nurkic","por","lal","por","por","lal"
"11",2018-10-19,"Cody Zeller","Nikola Vucevic","orl","cha","orl","orl","orl"
"12",2018-10-19,"Enes Kanter","Jarrett Allen","ny","ny","bkn","ny","ny"
"13",2018-10-19,"Alex Len","Marc Gasol","atl","atl","mem","atl","atl"
"14",2018-10-19,"Tristan Thompson","Karl-Anthony Towns","min","cle","min","min","min"
"15",2018-10-19,"Willie Cauley-Stein","Anthony Davis","no","sac","no","no","no"
